preco,condominio,iptu,bairro,cidade,estado,cep,metragem,quartos,banheiros,vagas,caracteristicas_imovel,caracteristicas_condominio
595000.0,400.0,700.0,Boa Vista,Curitiba,PR,82540130,77,3,2,1,"['Varanda', 'Área de serviço', 'Churrasqueira', 'Academia']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
185000.0,392.0,0.0,Fazendinha,Curitiba,PR,81320180,53,3,1,1,"['Armários no quarto', 'Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Academia']"
1220000.0,550.0,240.0,Cristo Rei,Curitiba,PR,80050470,113,3,4,2,"['Ar condicionado', 'Churrasqueira', 'Porteiro 24h', 'Varanda', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
610000.0,600.0,400.0,Campo Comprido,Curitiba,PR,81210310,93,3,2,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Piscina']","['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Piscina', 'Portão eletrônico']"
269990.0,0.0,0.0,Novo Mundo,Curitiba,PR,81050150,66,3,2,1,"['Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Portão eletrônico']"
230000.0,500.0,400.0,Santa Quitéria,Curitiba,PR,80330180,57,3,1,1,['Porteiro 24h'],"['Portaria', 'Portão eletrônico', 'Permitido animais', 'Condomínio fechado']"
650000.0,1000.0,198.0,Água Verde,Curitiba,PR,80240031,102,3,3,2,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Academia']"
495000.0,800.0,1000.0,Bacacheri,Curitiba,PR,82510000,88,3,2,1,"['Porteiro 24h', 'Churrasqueira']","['Salão de festas', 'Portaria', 'Elevador']"
345000.0,450.0,400.0,Bigorrilho,Curitiba,PR,80730000,57,2,2,1,"['Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Academia']"
699900.0,335.0,0.0,Mercês,Curitiba,PR,80510360,80,2,2,2,"['Ar condicionado', 'Mobiliado', 'Churrasqueira']","['Salão de festas', 'Portão eletrônico', 'Elevador', 'Permitido animais']"
126000.0,250.0,0.0,Portão,Curitiba,PR,80330000,38,2,1,1,"['Porteiro 24h', 'Churrasqueira']","['Salão de festas', 'Portaria', 'Portão eletrônico', 'Permitido animais']"
1350000.0,800.0,0.0,Portão,Curitiba,PR,80320200,126,3,5,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
345000.0,350.0,715.0,Cristo Rei,Curitiba,PR,80050350,76,3,2,1,[],"['Portão eletrônico', 'Permitido animais']"
720000.0,1300.0,1400.0,São Francisco,Curitiba,PR,80410030,168,4,3,2,"['Mobiliado', 'Piscina', 'Porteiro 24h']","['Portaria', 'Elevador', 'Permitido animais', 'Piscina', 'Portão eletrônico']"
230000.0,300.0,0.0,Santa Quitéria,Curitiba,PR,80330180,59,3,1,1,"['Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
1195000.0,1400.0,3100.0,Centro,Curitiba,PR,80010090,213,3,2,1,"['Ar condicionado', 'Mobiliado', 'Porteiro 24h', 'Armários na cozinha', 'Área de serviço', 'Armários no quarto']","['Portaria', 'Portão eletrônico', 'Elevador', 'Permitido animais']"
649900.0,700.0,980.0,Capão Raso,Curitiba,PR,81130020,78,3,2,2,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
580000.0,437.0,783.0,Água Verde,Curitiba,PR,80620130,105,3,2,1,['Academia'],"['Salão de festas', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
580000.0,400.0,1000.0,Vila Izabel,Curitiba,PR,80320240,78,2,2,2,"['Mobiliado', 'Churrasqueira', 'Academia']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
295000.0,430.0,0.0,Cristo Rei,Curitiba,PR,80050360,70,2,1,1,['Mobiliado'],"['Salão de festas', 'Portão eletrônico', 'Permitido animais']"
640000.0,525.0,900.0,Cabral,Curitiba,PR,82200700,137,3,3,2,"['Varanda', 'Ar condicionado', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Portão eletrônico']"
2000000.0,0.0,0.0,Centro,Curitiba,PR,80250020,138,3,4,3,"['Piscina', 'Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Condomínio fechado', 'Piscina', 'Portão eletrônico', 'Academia']"
185500.0,395.0,135.0,Fazendinha,Curitiba,PR,81320185,44,2,1,1,"['Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Portão eletrônico']"
680000.0,530.0,100.0,Água Verde,Curitiba,PR,80620230,94,3,2,2,"['Mobiliado', 'Churrasqueira', 'Área de serviço']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
390000.0,770.0,870.0,Cristo Rei,Curitiba,PR,80050370,100,3,3,2,['Porteiro 24h'],"['Portaria', 'Portão eletrônico', 'Elevador']"
3950000.0,3500.0,7800.0,Bigorrilho,Curitiba,PR,80710000,212,2,4,4,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
215000.0,350.0,450.0,Alto Boqueirão,Curitiba,PR,81770263,48,2,1,1,"['Mobiliado', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas']"
590000.0,650.0,0.0,Centro,Curitiba,PR,80010100,69,2,2,1,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Varanda', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Academia']"
449990.0,380.0,900.0,Santo Inácio,Curitiba,PR,82010670,74,3,2,1,"['Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
660000.0,800.0,76.0,Centro,Curitiba,PR,80420000,131,2,2,1,"['Ar condicionado', 'Mobiliado', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Portão eletrônico']"
3899000.0,2800.0,6000.0,Água Verde,Curitiba,PR,80240031,220,4,5,3,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
249900.0,350.0,450.0,Portão,Curitiba,PR,80610180,33,1,1,0,"['Piscina', 'Porteiro 24h', 'Academia', 'Área de serviço']","['Portaria', 'Salão de festas', 'Elevador', 'Piscina', 'Academia']"
615000.0,0.0,0.0,Bigorrilho,Curitiba,PR,80730000,110,3,3,1,[],"['Salão de festas', 'Condomínio fechado', 'Permitido animais', 'Elevador']"
1950000.0,0.0,0.0,Mossunguê,Curitiba,PR,81210220,164,3,5,3,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
210000.0,180.0,450.0,Santa Cândida,Curitiba,PR,82720350,49,2,1,1,"['Mobiliado', 'Churrasqueira']","['Portão eletrônico', 'Permitido animais', 'Condomínio fechado']"
439000.0,550.0,1190.0,Santa Quitéria,Curitiba,PR,80310420,63,2,2,1,"['Varanda', 'Churrasqueira', 'Academia']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico', 'Academia']"
175000.0,359.0,41.0,Cidade Industrial,Curitiba,PR,81230000,53,3,1,1,"['Piscina', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Piscina']"
530000.0,650.0,1100.0,Portão,Curitiba,PR,80610150,109,3,3,1,['Porteiro 24h'],"['Portaria', 'Portão eletrônico', 'Salão de festas', 'Elevador']"
352000.0,260.0,600.0,Novo Mundo,Curitiba,PR,81050240,67,3,2,1,['Mobiliado'],"['Salão de festas', 'Portão eletrônico', 'Elevador']"
179000.0,0.0,0.0,Novo Mundo,Curitiba,PR,81020040,17,1,1,0,"['Churrasqueira', 'Porteiro 24h', 'Área de serviço', 'Piscina', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Condomínio fechado', 'Piscina', 'Portão eletrônico', 'Academia']"
249000.0,400.0,500.0,Portão,Curitiba,PR,81070140,49,3,1,1,"['Porteiro 24h', 'Churrasqueira']","['Salão de festas', 'Portaria', 'Permitido animais']"
629900.0,490.0,0.0,Santo Inácio,Curitiba,PR,82010610,76,3,2,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Armários no quarto']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Portão eletrônico']"
180000.0,296.0,0.0,Sítio Cercado,Curitiba,PR,81925060,48,2,1,1,"['Mobiliado', 'Churrasqueira']","['Salão de festas', 'Portão eletrônico', 'Permitido animais', 'Condomínio fechado']"
590000.0,600.0,1600.0,Bigorrilho,Curitiba,PR,80730030,107,3,3,1,"['Piscina', 'Porteiro 24h', 'Churrasqueira', 'Academia']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Piscina', 'Portão eletrônico', 'Academia']"
570000.0,750.0,150.0,Alto da Glória,Curitiba,PR,80030200,110,4,3,1,['Porteiro 24h'],"['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
999999.0,500.0,1077.0,Boa Vista,Curitiba,PR,82540050,82,2,2,2,"['Churrasqueira', 'Porteiro 24h', 'Varanda', 'Piscina', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Condomínio fechado', 'Piscina', 'Portão eletrônico', 'Academia']"
595000.0,0.0,0.0,Centro,Curitiba,PR,80250220,58,2,2,1,[],[]
680000.0,0.0,0.0,Rebouças,Curitiba,PR,80220080,216,4,4,1,"['Armários no quarto', 'Mobiliado', 'Porteiro 24h']","['Portaria', 'Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
330000.0,600.0,0.0,Cristo Rei,Curitiba,PR,80050510,79,3,2,1,[],"['Portão eletrônico', 'Elevador']"
468000.0,0.0,0.0,Alto Boqueirão,Curitiba,PR,81720245,71,2,2,2,"['Ar condicionado', 'Churrasqueira']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
360000.0,550.0,1000.0,Centro,Curitiba,PR,80010200,133,4,3,0,[],"['Portão eletrônico', 'Permitido animais', 'Elevador']"
265000.0,320.0,500.0,Novo Mundo,Curitiba,PR,81020150,52,2,1,1,['Mobiliado'],"['Salão de festas', 'Permitido animais', 'Elevador']"
899000.0,750.0,0.0,Seminário,Curitiba,PR,80740560,119,3,3,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
840000.0,1100.0,214.0,Bigorrilho,Curitiba,PR,80730390,156,3,3,2,"['Mobiliado', 'Piscina', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Piscina', 'Portão eletrônico']"
480000.0,600.0,0.0,Centro,Curitiba,PR,80060205,55,1,1,1,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Piscina', 'Portão eletrônico', 'Academia']"
299000.0,340.0,525.0,Cidade Industrial,Curitiba,PR,81280440,78,3,1,1,"['Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Portão eletrônico']"
318000.0,220.0,480.0,Vila Izabel,Curitiba,PR,80320050,60,2,1,1,['Churrasqueira'],"['Portão eletrônico', 'Condomínio fechado']"
1040000.0,500.0,1200.0,Batel,Curitiba,PR,80420150,79,2,2,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Armários na cozinha', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
135000.0,273.0,138.0,Campo de Santana,Curitiba,PR,81490030,41,2,1,1,"['Ar condicionado', 'Porteiro 24h', 'Churrasqueira']","['Portaria', 'Salão de festas', 'Permitido animais', 'Condomínio fechado', 'Portão eletrônico']"
985000.0,850.0,0.0,Alto da Rua XV,Curitiba,PR,80045165,136,3,3,2,"['Ar condicionado', 'Armários no quarto', 'Porteiro 24h']","['Portaria', 'Portão eletrônico', 'Elevador', 'Permitido animais']"
300000.0,700.0,70.0,Centro,Curitiba,PR,80010010,107,3,2,0,[],"['Permitido animais', 'Elevador']"
580000.0,500.0,740.0,Cabral,Curitiba,PR,80035270,75,3,2,1,"['Porteiro 24h', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Portão eletrônico', 'Academia']"
404000.0,260.0,550.0,Boa Vista,Curitiba,PR,82560480,59,2,2,1,"['Ar condicionado', 'Armários no quarto', 'Mobiliado']",['Salão de festas']
340000.0,470.0,22.0,Campina do Siqueira,Curitiba,PR,80730230,33,1,1,0,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Área de serviço', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
330000.0,600.0,49.0,Centro,Curitiba,PR,80420120,77,1,1,1,"['Varanda', 'Porteiro 24h']","['Portaria', 'Permitido animais']"
300000.0,300.0,500.0,Água Verde,Curitiba,PR,80620100,65,2,1,1,['Mobiliado'],['Permitido animais']
1250000.0,750.0,2000.0,Água Verde,Curitiba,PR,80250042,89,3,2,2,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Piscina', 'Academia']","['Portaria', 'Salão de festas', 'Elevador', 'Permitido animais', 'Piscina', 'Portão eletrônico', 'Academia']"
690000.0,250.0,900.0,Água Verde,Curitiba,PR,80620440,96,2,2,1,"['Ar condicionado', 'Churrasqueira', 'Mobiliado', 'Armários na cozinha', 'Varanda']","['Salão de festas', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Portão eletrônico']"
1790000.0,0.0,0.0,Água Verde,Curitiba,PR,80620120,145,3,4,3,"['Ar condicionado', 'Churrasqueira', 'Varanda', 'Armários no quarto', 'Academia']","['Salão de festas', 'Elevador', 'Permitido animais', 'Portão eletrônico', 'Academia']"
1100000.0,900.0,250.0,Cabral,Curitiba,PR,80035030,117,3,4,2,"['Churrasqueira', 'Mobiliado', 'Porteiro 24h', 'Varanda', 'Armários no quarto', 'Piscina', 'Academia']","['Portaria', 'Permitido animais', 'Elevador', 'Condomínio fechado', 'Salão de festas', 'Piscina', 'Portão eletrônico', 'Academia']"
